year,hfc23
1975,2.4934957187275777
1976,2.7611560037421867
1977,3.041689625979652
1978,3.3534682834389984
1979,3.687372580878387
1980,4.029297963579257
1981,4.363311454852464
1982,4.668997991387994
1983,4.994777739126701
1984,5.381788447609683
1985,5.795129416397089
1986,6.23864544110815
1987,6.688256944217712
1988,7.186620727521112
1989,7.762146852698919
1990,8.343844777099667
1991,8.865375906973531
1992,9.387440268297675
1993,9.994780836150085
1994,10.629379978546668
1995,11.303482378279115
1996,12.029802660130755
1997,12.79647139960535
1998,13.58733285559548
1999,14.378112238349429
2000,15.18945380420845
2001,15.915262726876216
2002,16.571766477352934
2003,17.263409836669094
2004,18.07253198317125
2005,19.014656906862296
2006,20.066124350205403
2007,21.034720287528483
2008,21.860318934634915
2009,22.56744152841921
2010,23.247310699801194
2011,24.054249070574873
2012,24.958281182501363
2013,25.979139015125018
2014,27.049321229498226
2015,28.048278592722458
2016,28.937856553412875
2017,29.96279625803713
2018,31.16878400325332
2019,32.46950876819162
2020,33.725457784364416
2021,34.86931115014534
2022,35.859907933808394
2023,36.80670764572424
